"","CGID"
"8843","cg07596401"
"8844","cg07597885"
"8845","cg07598464"
"8846","cg07599579"
"8847","cg07599659"
"8848","cg07602567"
"8849","cg07602740"
"8850","cg07603267"
"8851","cg07603843"
"8852","cg07604202"
"8853","cg07607269"
"8854","cg07607354"
"8855","cg07607704"
"8856","cg07608562"
"8857","cg07608671"
"8858","cg07609108"
"8859","cg07610822"
"8860","cg07611887"
"8861","cg07612889"
"8862","cg07613361"
"8863","cg07614125"
"8864","cg07614174"
"8865","cg07614344"
"8866","cg07615781"
"8867","cg07617384"
"8868","cg07617768"
"8869","cg07618048"
"8870","cg07618258"
"8871","cg07618768"
"8872","cg07620039"
"8873","cg07621227"
"8874","cg07621660"
"8875","cg07622533"
"8876","cg07627602"
"8877","cg07627664"
"8878","cg07628178"
"8879","cg07630035"
"8880","cg07632032"
"8881","cg07632663"
"8882","cg07633119"
"8883","cg07633664"
"8884","cg07633701"
"8885","cg07634082"
"8886","cg07636194"
"8887","cg07637183"
"8888","cg07637599"
"8889","cg07638249"
"8890","cg07638938"
"8891","cg07640666"
"8892","cg07640959"
"8893","cg07641355"
"8894","cg07643314"
"8895","cg07645542"
"8896","cg07645656"
"8897","cg07645858"
"8898","cg07646007"
"8899","cg07646562"
"8900","cg07646665"
"8901","cg07649992"
"8902","cg07651832"
"8903","cg07653370"
"8904","cg07653418"
"8905","cg07655261"
"8906","cg07655636"
"8907","cg07656304"
"8908","cg07657192"
"8909","cg07658428"
"8910","cg07658439"
"8911","cg07660283"
"8912","cg07660811"
"8913","cg07661389"
"8914","cg07661754"
"8915","cg07661836"
"8916","cg07663200"
"8917","cg07664323"
"8918","cg07665650"
"8919","cg07665907"
"8920","cg07669260"
"8921","cg07670185"
"8922","cg07672343"
"8923","cg07673083"
"8924","cg07673089"
"8925","cg07675647"
"8926","cg07678669"
"8927","cg07679581"
"8928","cg07680047"
"8929","cg07682009"
"8930","cg07682194"
"8931","cg07685606"
"8932","cg07686628"
"8933","cg07687119"
"8934","cg07687820"
"8935","cg07688855"
"8936","cg07688922"
"8937","cg07689032"
"8938","cg07689148"
"8939","cg07690202"
"8940","cg07690441"
"8941","cg07690692"
"8942","cg07692540"
"8943","cg07693523"
"8944","cg07694711"
"8945","cg07694754"
"8946","cg07696464"
"8947","cg07699845"
"8948","cg07700847"
"8949","cg07701166"
"8950","cg07703119"
"8951","cg07703249"
"8952","cg07703679"
"8953","cg07704242"
"8954","cg07706362"
"8955","cg07707039"
"8956","cg07707641"
"8957","cg07708016"
"8958","cg07708613"
"8959","cg07708777"
"8960","cg07708951"
"8961","cg07709155"
"8962","cg07709314"
"8963","cg07711067"
"8964","cg07712267"
"8965","cg07713242"
"8966","cg07713293"
"8967","cg07713796"
"8968","cg07716280"
"8969","cg07717198"
"8970","cg07718349"
"8971","cg07718483"
"8972","cg07718716"
"8973","cg07719253"
"8974","cg07719261"
"8975","cg07719772"
"8976","cg07721440"
"8977","cg07721848"
"8978","cg07722505"
"8979","cg07724643"
"8980","cg07724654"
"8981","cg07725198"
"8982","cg07725685"
"8983","cg07726456"
"8984","cg07726457"
"8985","cg07728215"
"8986","cg07728631"
"8987","cg07733129"
"8988","cg07735710"
"8989","cg07735952"
"8990","cg07736415"
"8991","cg07736578"
"8992","cg07736705"
"8993","cg07737469"
"8994","cg07737810"
"8995","cg07740199"
"8996","cg07740914"
"8997","cg07743548"
"8998","cg07743747"
"8999","cg07743919"
"9000","cg07745102"
"9001","cg07745418"
"9002","cg07745725"
"9003","cg07745899"
"9004","cg07746427"
"9005","cg07747791"
"9006","cg07747871"
"9007","cg07747875"
"9008","cg07748193"
"9009","cg07748875"
"9010","cg07750118"
"9011","cg07750529"
"9012","cg07750560"
"9013","cg07750638"
"9014","cg07750813"
"9015","cg07751304"
"9016","cg07751463"
"9017","cg07751919"
"9018","cg07752079"
"9019","cg07752194"
"9020","cg07752596"
"9021","cg07753245"
"9022","cg07753967"
"9023","cg07754407"
"9024","cg07754531"
"9025","cg07754829"
"9026","cg07756562"
"9027","cg07757454"
"9028","cg07757545"
"9029","cg07757885"
"9030","cg07758528"
"9031","cg07760026"
"9032","cg07760800"
"9033","cg07761367"
"9034","cg07761386"
"9035","cg07762474"
"9036","cg07762785"
"9037","cg07763179"
"9038","cg07763398"
"9039","cg07765167"
"9040","cg07765595"
"9041","cg07770129"
"9042","cg07770560"
"9043","cg07772324"
"9044","cg07772467"
"9045","cg07772605"
"9046","cg07772660"
"9047","cg07773593"
"9048","cg07774906"
"9049","cg07775117"
"9050","cg07776664"
"9051","cg07777156"
"9052","cg07778900"
"9053","cg07778983"
"9054","cg07779179"
"9055","cg07779782"
"9056","cg07780979"
"9057","cg07782101"
"9058","cg07785225"
"9059","cg07789750"
"9060","cg07790831"
"9061","cg07792006"
"9062","cg07792320"
"9063","cg07792719"
"9064","cg07793537"
"9065","cg07793789"
"9066","cg07793952"
"9067","cg07794230"
"9068","cg07795949"
"9069","cg07797833"
"9070","cg07799157"
"9071","cg07800079"
"9072","cg07803710"
"9073","cg07806771"
"9074","cg07808983"
"9075","cg07810091"
"9076","cg07810366"
"9077","cg07810522"
"9078","cg07810671"
"9079","cg07811719"
"9080","cg07811931"
"9081","cg07813747"
"9082","cg07813855"
"9083","cg07814345"
"9084","cg07814731"
"9085","cg07814742"
"9086","cg07816637"
"9087","cg07818063"
"9088","cg07818949"
"9089","cg07819497"
"9090","cg07819861"
"9091","cg07820702"
"9092","cg07820786"
"9093","cg07822613"
"9094","cg07822928"
"9095","cg07824272"
"9096","cg07824710"
"9097","cg07824716"
"9098","cg07825955"
"9099","cg07829209"
"9100","cg07829232"
"9101","cg07829469"
"9102","cg07830287"
"9103","cg07830695"
"9104","cg07832739"
"9105","cg07832761"
"9106","cg07833209"
"9107","cg07833472"
"9108","cg07833955"
"9109","cg07834423"
"9110","cg07836478"
"9111","cg07839513"
"9112","cg07841357"
"9113","cg07841686"
"9114","cg07844507"
"9115","cg07844659"
"9116","cg07846230"
"9117","cg07848485"
"9118","cg07850316"
"9119","cg07851244"
"9120","cg07851361"
"9121","cg07851521"
"9122","cg07852224"
"9123","cg07855045"
"9124","cg07855322"
"9125","cg07855337"
"9126","cg07855754"
"9127","cg07856280"
"9128","cg07856387"
"9129","cg07856721"
"9130","cg07858489"
"9131","cg07858613"
"9132","cg07859360"
"9133","cg07860140"
"9134","cg07861329"
"9135","cg07870039"
"9136","cg07870213"
"9137","cg07870293"
"9138","cg07870528"
"9139","cg07871633"
"9140","cg07872608"
"9141","cg07872960"
"9142","cg07872979"
"9143","cg07874738"
"9144","cg07877145"
"9145","cg07878191"
"9146","cg07879681"
"9147","cg07882184"
"9148","cg07882546"
"9149","cg07883262"
"9150","cg07885834"
"9151","cg07888679"
"9152","cg07890882"
"9153","cg07891737"
"9154","cg07892413"
"9155","cg07893709"
"9156","cg07898500"
"9157","cg07899983"
"9158","cg07900281"
"9159","cg07900823"
"9160","cg07901472"
"9161","cg07901479"
"9162","cg07902406"
"9163","cg07903153"
"9164","cg07903918"
"9165","cg07904255"
"9166","cg07905055"
"9167","cg07905537"
"9168","cg07905836"
"9169","cg07905965"
"9170","cg07908229"
"9171","cg07908999"
"9172","cg07910050"
"9173","cg07910736"
"9174","cg07911310"
"9175","cg07911444"
"9176","cg07912018"
"9177","cg07912453"
"9178","cg07912561"
"9179","cg07912810"
"9180","cg07912888"
"9181","cg07913503"
"9182","cg07913806"
"9183","cg07915323"
"9184","cg07917473"
"9185","cg07917808"
"9186","cg07917842"
"9187","cg07919028"
"9188","cg07919753"
"9189","cg07919805"
"9190","cg07920452"
"9191","cg07921682"
"9192","cg07923588"
"9193","cg07924013"
"9194","cg07925105"
"9195","cg07925246"
"9196","cg07926178"
"9197","cg07926770"
"9198","cg07929078"
"9199","cg07929112"
"9200","cg07929264"
"9201","cg07930329"
"9202","cg07933656"
"9203","cg07934026"
"9204","cg07934561"
"9205","cg07934604"
"9206","cg07935255"
"9207","cg07936541"
"9208","cg07937091"
"9209","cg07940072"
"9210","cg07940280"
"9211","cg07942217"
"9212","cg07942774"
"9213","cg07943461"
"9214","cg07943766"
"9215","cg07944494"
"9216","cg07944762"
"9217","cg07945925"
"9218","cg07946260"
"9219","cg07948143"
"9220","cg07949103"
"9221","cg07949989"
"9222","cg07951151"
"9223","cg07951749"
"9224","cg07953082"
"9225","cg07953310"
"9226","cg07954776"
"9227","cg07955741"
"9228","cg07955933"
"9229","cg07956857"
"9230","cg07957551"
"9231","cg07957795"
"9232","cg07958169"
"9233","cg07959124"
"9234","cg07959403"
"9235","cg07959490"
"9236","cg07961098"
"9237","cg07961278"
"9238","cg07961637"
"9239","cg07962218"
"9240","cg07962358"
"9241","cg07963361"
"9242","cg07964244"
"9243","cg07966808"
"9244","cg07967114"
"9245","cg07967630"
"9246","cg07969242"
"9247","cg07969769"
"9248","cg07969785"
"9249","cg07970541"
"9250","cg07971743"
"9251","cg07971827"
"9252","cg07972787"
"9253","cg07973507"
"9254","cg07974031"
"9255","cg07976669"
"9256","cg07976864"
"9257","cg07976976"
"9258","cg07977620"
"9259","cg07977689"
"9260","cg07978901"
"9261","cg07980295"
"9262","cg07980324"
"9263","cg07980466"
"9264","cg07981080"
"9265","cg07983453"
"9266","cg07986413"
"9267","cg07986887"
"9268","cg07987449"
"9269","cg07988713"
"9270","cg07989373"
"9271","cg07990036"
"9272","cg07991167"
"9273","cg07992604"
"9274","cg07992633"
"9275","cg07992759"
"9276","cg07994580"
"9277","cg07996278"
"9278","cg07996558"
"9279","cg07997387"
"9280","cg07998479"
"9281","cg08003742"
"9282","cg08004698"
"9283","cg08005007"
"9284","cg08007234"
"9285","cg08007304"
"9286","cg08007557"
"9287","cg08008286"
"9288","cg08009313"
"9289","cg08009568"
"9290","cg08010037"
"9291","cg08012156"
"9292","cg08012922"
"9293","cg08013114"
"9294","cg08017202"
"9295","cg08018731"
"9296","cg08019449"
"9297","cg08021120"
"9298","cg08023458"
"9299","cg08023476"
"9300","cg08024053"
"9301","cg08026791"
"9302","cg08027643"
"9303","cg08028004"
"9304","cg08028341"
"9305","cg08028425"
"9306","cg08028698"
"9307","cg08029105"
"9308","cg08029978"
"9309","cg08030851"
"9310","cg08031518"
"9311","cg08033285"
"9312","cg08035872"
"9313","cg08036804"
"9314","cg08037478"
"9315","cg08037664"
"9316","cg08038224"
"9317","cg08038567"
"9318","cg08039008"
"9319","cg08039281"
"9320","cg08039385"
"9321","cg08039587"
"9322","cg08039701"
"9323","cg08041573"
"9324","cg08042345"
"9325","cg08042477"
"9326","cg08042799"
"9327","cg08043017"
"9328","cg08044366"
"9329","cg08044620"
"9330","cg08045489"
"9331","cg08045599"
"9332","cg08047889"
"9333","cg08049592"
"9334","cg08050006"
"9335","cg08051049"
"9336","cg08051322"
"9337","cg08051445"
"9338","cg08052302"
"9339","cg08053115"
"9340","cg08056835"
"9341","cg08057277"
"9342","cg08058191"
"9343","cg08058470"
"9344","cg08059058"
"9345","cg08061040"
"9346","cg08061076"
"9347","cg08063724"
"9348","cg08065238"
"9349","cg08065292"
"9350","cg08065835"
"9351","cg08066384"
"9352","cg08066535"
"9353","cg08068375"
"9354","cg08068547"
"9355","cg08069249"
"9356","cg08071329"
"9357","cg08071391"
"9358","cg08071595"
"9359","cg08071915"
"9360","cg08072458"
"9361","cg08072863"
"9362","cg08072980"
"9363","cg08073009"
"9364","cg08073294"
"9365","cg08074555"
"9366","cg08075604"
"9367","cg08075677"
"9368","cg08075740"
"9369","cg08076532"
"9370","cg08078541"
"9371","cg08080024"
"9372","cg08081379"
"9373","cg08081615"
"9374","cg08082943"
"9375","cg08083435"
"9376","cg08084616"
"9377","cg08085668"
"9378","cg08087657"
"9379","cg08089364"
"9380","cg08089702"
"9381","cg08090296"
"9382","cg08091579"
"9383","cg08092515"
"9384","cg08093398"
"9385","cg08094128"
"9386","cg08095339"
"9387","cg08095340"
"9388","cg08095345"
"9389","cg08095359"
"9390","cg08096812"
"9391","cg08097057"
"9392","cg08097929"
"9393","cg08098068"
"9394","cg08100031"
"9395","cg08100944"
"9396","cg08101922"
"9397","cg08103220"
"9398","cg08103359"
"9399","cg08105529"
"9400","cg08106449"
"9401","cg08106565"
"9402","cg08106635"
"9403","cg08107352"
"9404","cg08107689"
"9405","cg08108965"
"9406","cg08109568"
"9407","cg08110005"
"9408","cg08111035"
"9409","cg08113639"
"9410","cg08113691"
"9411","cg08113913"
"9412","cg08114547"
"9413","cg08116137"
"9414","cg08116922"
"9415","cg08119506"
"9416","cg08121102"
"9417","cg08122018"
"9418","cg08126392"
"9419","cg08127021"
"9420","cg08127694"
"9421","cg08127858"
"9422","cg08128444"
"9423","cg08129150"
"9424","cg08129266"
"9425","cg08129658"
"9426","cg08131169"
"9427","cg08131848"
"9428","cg08132288"
"9429","cg08133850"
"9430","cg08134877"
"9431","cg08135460"
"9432","cg08135815"
"9433","cg08136070"
"9434","cg08137564"
"9435","cg08138005"
"9436","cg08141049"
"9437","cg08141612"
"9438","cg08142344"
"9439","cg08143688"
"9440","cg08145495"
"9441","cg08146026"
"9442","cg08146256"
"9443","cg08146495"
"9444","cg08148379"
"9445","cg08152331"
"9446","cg08153621"
"9447","cg08154187"
"9448","cg08154700"
"9449","cg08154731"
"9450","cg08155050"
"9451","cg08157440"
"9452","cg08158115"
"9453","cg08158805"
"9454","cg08160057"
"9455","cg08160317"
"9456","cg08160871"
"9457","cg08160891"
"9458","cg08161325"
"9459","cg08161491"
"9460","cg08163494"
"9461","cg08163714"
"9462","cg08164977"
"9463","cg08165558"
"9464","cg08165875"
"9465","cg08167039"
"9466","cg08168175"
"9467","cg08169026"
"9468","cg08170119"
"9469","cg08171276"
"9470","cg08173660"
"9471","cg08174003"
"9472","cg08175546"
"9473","cg08177746"
"9474","cg08179155"
"9475","cg08179525"
"9476","cg08180553"
"9477","cg08180624"
"9478","cg08181324"
"9479","cg08181657"
"9480","cg08185061"
"9481","cg08185105"
"9482","cg08185438"
"9483","cg08185695"
"9484","cg08187469"
"9485","cg08189100"
"9486","cg08189391"
"9487","cg08189861"
"9488","cg08190125"
"9489","cg08190552"
"9490","cg08191566"
"9491","cg08191781"
"9492","cg08194339"
"9493","cg08194650"
"9494","cg08194752"
"9495","cg08196128"
"9496","cg08197571"
"9497","cg08198040"
"9498","cg08198401"
"9499","cg08198609"
"9500","cg08198713"
"9501","cg08199235"
"9502","cg08199727"
"9503","cg08200252"
"9504","cg08200856"
"9505","cg08200869"
"9506","cg08202507"
"9507","cg08202827"
"9508","cg08202978"
"9509","cg08204044"
"9510","cg08207170"
"9511","cg08208598"
"9512","cg08209614"
"9513","cg08212479"
"9514","cg08215115"
"9515","cg08215453"
"9516","cg08215532"
"9517","cg08215876"
"9518","cg08216447"
"9519","cg08217411"
"9520","cg08219091"
"9521","cg08219863"
"9522","cg08220596"
"9523","cg08222555"
"9524","cg08222798"
"9525","cg08223835"
"9526","cg08224217"
"9527","cg08225398"
"9528","cg08226047"
"9529","cg08227568"
"9530","cg08228366"
"9531","cg08229183"
"9532","cg08229502"
"9533","cg08229688"
"9534","cg08229801"
"9535","cg08230553"
"9536","cg08230698"
"9537","cg08236018"
"9538","cg08236766"
"9539","cg08237400"
"9540","cg08239841"
"9541","cg08240571"
"9542","cg08241397"
"9543","cg08242232"
"9544","cg08242338"
"9545","cg08245127"
"9546","cg08245665"
"9547","cg08247552"
"9548","cg08247583"
"9549","cg08248014"
"9550","cg08248516"
"9551","cg08248611"
"9552","cg08251160"
"9553","cg08251248"
"9554","cg08251427"
"9555","cg08251943"
"9556","cg08252384"
"9557","cg08253264"
"9558","cg08254533"
"9559","cg08254842"
"9560","cg08256065"
"9561","cg08256175"
"9562","cg08257009"
"9563","cg08257212"
"9564","cg08258224"
"9565","cg08258654"
"9566","cg08258922"
"9567","cg08262582"
"9568","cg08262637"
"9569","cg08263589"
"9570","cg08266565"
"9571","cg08267258"
"9572","cg08267300"
"9573","cg08267888"
"9574","cg08270434"
"9575","cg08270539"
"9576","cg08271622"
"9577","cg08272429"
"9578","cg08273502"
"9579","cg08275025"
"9580","cg08275631"
"9581","cg08276333"
"9582","cg08276455"
"9583","cg08277815"
"9584","cg08278078"
"9585","cg08278843"
"9586","cg08280861"
"9587","cg08281071"
"9588","cg08281469"
"9589","cg08282195"
"9590","cg08282812"
"9591","cg08283318"
"9592","cg08284151"
"9593","cg08284447"
"9594","cg08284758"
"9595","cg08285319"
"9596","cg08285415"
"9597","cg08285429"
"9598","cg08285730"
"9599","cg08287248"
"9600","cg08288237"
"9601","cg08288694"
"9602","cg08288811"
"9603","cg08289176"
"9604","cg08289482"
"9605","cg08290728"
"9606","cg08292569"
"9607","cg08293303"
"9608","cg08293468"
"9609","cg08294536"
"9610","cg08296390"
"9611","cg08296499"
"9612","cg08296730"
"9613","cg08297137"
"9614","cg08300985"
"9615","cg08300990"
"9616","cg08301036"
"9617","cg08302468"
"9618","cg08304101"
"9619","cg08306365"
"9620","cg08306589"
"9621","cg08307311"
"9622","cg08307753"
"9623","cg08307867"
"9624","cg08309609"
"9625","cg08310439"
"9626","cg08313242"
"9627","cg08314875"
"9628","cg08315130"
"9629","cg08317730"
"9630","cg08317801"
"9631","cg08318424"
"9632","cg08319936"
"9633","cg08321330"
"9634","cg08322013"
"9635","cg08322149"
"9636","cg08323201"
"9637","cg08325307"
"9638","cg08326209"
"9639","cg08326410"
"9640","cg08328124"
"9641","cg08328842"
"9642","cg08329070"
"9643","cg08330011"
"9644","cg08332992"
"9645","cg08333243"
"9646","cg08333333"
"9647","cg08333839"
"9648","cg08334154"
"9649","cg08334278"
"9650","cg08335662"
"9651","cg08335892"
"9652","cg08336687"
"9653","cg08336733"
"9654","cg08338237"
"9655","cg08339324"
"9656","cg08339762"
"9657","cg08342134"
"9658","cg08343786"
"9659","cg08344174"
"9660","cg08347021"
"9661","cg08347442"
"9662","cg08348387"
"9663","cg08348949"
"9664","cg08350960"
"9665","cg08351017"
"9666","cg08353090"
"9667","cg08353172"
"9668","cg08354320"
"9669","cg08355345"
"9670","cg08356097"
"9671","cg08356248"
"9672","cg08356522"
"9673","cg08356705"
"9674","cg08357055"
"9675","cg08357177"
"9676","cg08357313"
"9677","cg08359870"
"9678","cg08360297"
"9679","cg08362589"
"9680","cg08365438"
"9681","cg08365685"
"9682","cg08368330"
"9683","cg08368496"
"9684","cg08369061"
"9685","cg08369576"
"9686","cg08370718"
"9687","cg08371064"
"9688","cg08371086"
"9689","cg08372051"
"9690","cg08374391"
"9691","cg08374798"
"9692","cg08377615"
"9693","cg08377862"
"9694","cg08379019"
"9695","cg08380262"
"9696","cg08381437"
"9697","cg08381868"
"9698","cg08382946"
"9699","cg08383902"
"9700","cg08384658"
"9701","cg08389347"
"9702","cg08390994"
"9703","cg08391356"
"9704","cg08392142"
"9705","cg08393024"
"9706","cg08394510"
"9707","cg08394597"
"9708","cg08394602"
"9709","cg08395009"
"9710","cg08395459"
"9711","cg08395966"
"9712","cg08396034"
"9713","cg08398034"
"9714","cg08398498"
"9715","cg08400246"
"9716","cg08400316"
"9717","cg08403691"
"9718","cg08405073"
"9719","cg08409165"
"9720","cg08409566"
"9721","cg08410052"
"9722","cg08411512"
"9723","cg08411833"
"9724","cg08413390"
"9725","cg08414231"
"9726","cg08416054"
"9727","cg08416191"
"9728","cg08416870"
"9729","cg08418747"
"9730","cg08419523"
"9731","cg08419657"
"9732","cg08420056"
"9733","cg08420370"
"9734","cg08421550"
"9735","cg08421900"
"9736","cg08422471"
"9737","cg08422668"
"9738","cg08424636"
"9739","cg08425402"
"9740","cg08428949"
"9741","cg08429943"
"9742","cg08430598"
"9743","cg08431860"
"9744","cg08432583"
"9745","cg08432712"
"9746","cg08434171"
"9747","cg08434295"
"9748","cg08436684"
"9749","cg08437461"
"9750","cg08437957"
"9751","cg08438164"
"9752","cg08438268"
"9753","cg08438385"
"9754","cg08439987"
"9755","cg08440544"
"9756","cg08441918"
"9757","cg08442922"
"9758","cg08445469"
"9759","cg08447733"
"9760","cg08448812"
"9761","cg08449090"
"9762","cg08449361"
"9763","cg08449389"
"9764","cg08449855"
"9765","cg08449975"
"9766","cg08450058"
"9767","cg08450091"
"9768","cg08451113"
"9769","cg08452671"
"9770","cg08454110"
"9771","cg08454334"
"9772","cg08455021"
"9773","cg08455548"
"9774","cg08456597"
"9775","cg08457790"
"9776","cg08458197"
"9777","cg08458378"
"9778","cg08458655"
"9779","cg08459182"
"9780","cg08459670"
"9781","cg08459764"
"9782","cg08460022"
"9783","cg08460502"
"9784","cg08460629"
"9785","cg08461457"
"9786","cg08461781"
"9787","cg08461853"
"9788","cg08462017"
"9789","cg08463813"
"9790","cg08464734"
"9791","cg08464855"
"9792","cg08464900"
"9793","cg08466138"
"9794","cg08466385"
"9795","cg08469346"
"9796","cg08469632"
"9797","cg08469640"
"9798","cg08469752"
"9799","cg08470827"
"9800","cg08471420"
"9801","cg08471734"
"9802","cg08472559"
"9803","cg08472583"
"9804","cg08472753"
"9805","cg08474403"
"9806","cg08475244"
"9807","cg08475518"
"9808","cg08475721"
"9809","cg08476390"
"9810","cg08476832"
"9811","cg08477215"
"9812","cg08477687"
"9813","cg08478046"
"9814","cg08478462"
"9815","cg08478627"
"9816","cg08483173"
"9817","cg08483316"
"9818","cg08484962"
"9819","cg08484972"
"9820","cg08488494"
"9821","cg08488615"
"9822","cg08489228"
"9823","cg08489324"
"9824","cg08489682"
"9825","cg08490246"
"9826","cg08490356"
"9827","cg08490589"
"9828","cg08491069"
"9829","cg08491188"
"9830","cg08491641"
"9831","cg08491685"
"9832","cg08492178"
"9833","cg08493360"
"9834","cg08494150"
"9835","cg08498719"
"9836","cg08501265"
"9837","cg08501735"
"9838","cg08504577"
"9839","cg08505673"
"9840","cg08506303"
"9841","cg08506369"
"9842","cg08506401"
"9843","cg08507638"
"9844","cg08508576"
"9845","cg08508777"
"9846","cg08508887"
"9847","cg08509032"
"9848","cg08510934"
"9849","cg08512142"
"9850","cg08512456"
"9851","cg08516112"
"9852","cg08518507"
"9853","cg08518892"
"9854","cg08519216"
"9855","cg08519616"
"9856","cg08519949"
"9857","cg08522655"
"9858","cg08522831"
"9859","cg08523325"
"9860","cg08523444"
"9861","cg08524816"
"9862","cg08525345"
"9863","cg08525476"
"9864","cg08526140"
"9865","cg08527172"
"9866","cg08527618"
"9867","cg08528204"
"9868","cg08528213"
"9869","cg08529748"
"9870","cg08529987"
"9871","cg08530824"
"9872","cg08531263"
"9873","cg08531365"
"9874","cg08531998"
"9875","cg08533036"
"9876","cg08534465"
"9877","cg08538186"
"9878","cg08539065"
"9879","cg08539375"
"9880","cg08539962"
"9881","cg08540307"
"9882","cg08541345"
"9883","cg08541920"
"9884","cg08542640"
"9885","cg08543695"
"9886","cg08544540"
"9887","cg08546300"
"9888","cg08546805"
"9889","cg08547211"
"9890","cg08547427"
"9891","cg08547534"
"9892","cg08547873"
"9893","cg08548044"
"9894","cg08548718"
"9895","cg08549661"
"9896","cg08550094"
"9897","cg08550314"
"9898","cg08550882"
"9899","cg08551078"
"9900","cg08551633"
"9901","cg08552121"
"9902","cg08555389"
"9903","cg08555657"
"9904","cg08558974"
"9905","cg08560150"
"9906","cg08560164"
"9907","cg08560604"
"9908","cg08561071"
"9909","cg08561667"
"9910","cg08563677"
"9911","cg08566640"
"9912","cg08567947"
"9913","cg08568561"
"9914","cg08571287"
"9915","cg08573907"
"9916","cg08574140"
"9917","cg08574564"
"9918","cg08574632"
"9919","cg08575682"
"9920","cg08576095"
"9921","cg08577213"
"9922","cg08577509"
"9923","cg08577517"
"9924","cg08577693"
"9925","cg08578395"
"9926","cg08580224"
"9927","cg08580838"
"9928","cg08580861"
"9929","cg08581953"
"9930","cg08582546"
"9931","cg08582729"
"9932","cg08582773"
"9933","cg08583411"
"9934","cg08583895"
"9935","cg08584230"
"9936","cg08585897"
"9937","cg08588744"
"9938","cg08591048"
"9939","cg08591299"
"9940","cg08591859"
"9941","cg08593037"
"9942","cg08593252"
"9943","cg08594032"
"9944","cg08594632"
"9945","cg08596618"
"9946","cg08597025"
"9947","cg08597142"
"9948","cg08597393"
"9949","cg08597797"
"9950","cg08598108"
"9951","cg08598406"
"9952","cg08598483"
"9953","cg08598966"
"9954","cg08599229"
"9955","cg08600213"
"9956","cg08600765"
"9957","cg08601927"
"9958","cg08604085"
"9959","cg08605442"
"9960","cg08607209"
"9961","cg08608016"
"9962","cg08608094"
"9963","cg08608144"
"9964","cg08610228"
"9965","cg08610802"
"9966","cg08610886"
"9967","cg08613507"
"9968","cg08613577"
"9969","cg08615635"
"9970","cg08616516"
"9971","cg08617020"
"9972","cg08617415"
"9973","cg08617645"
"9974","cg08619954"
"9975","cg08620112"
"9976","cg08620245"
"9977","cg08620479"
"9978","cg08620558"
"9979","cg08621454"
"9980","cg08622563"
"9981","cg08623941"
"9982","cg08624705"
"9983","cg08626125"
"9984","cg08626543"
"9985","cg08627942"
"9986","cg08628006"
"9987","cg08629097"
"9988","cg08634157"
"9989","cg08634826"
"9990","cg08635406"
"9991","cg08636083"
"9992","cg08637257"
"9993","cg08637714"
"9994","cg08638287"
"9995","cg08638999"
"9996","cg08639839"
"9997","cg08643930"
"9998","cg08643950"
"9999","cg08643997"
"10000","cg08644058"
"10001","cg08644341"
"10002","cg08645878"
"10003","cg08646442"
"10004","cg08647652"
"10005","cg08648136"
"10006","cg08648727"
"10007","cg08648997"
"10008","cg08649216"
"10009","cg08650676"
"10010","cg08651039"
"10011","cg08655480"
"10012","cg08656053"
"10013","cg08656064"
"10014","cg08656326"
"10015","cg08656852"
"10016","cg08657886"
"10017","cg08658981"
"10018","cg08659203"
"10019","cg08659785"
"10020","cg08660064"
"10021","cg08662532"
"10022","cg08663007"
"10023","cg08663109"
"10024","cg08663552"
"10025","cg08663953"
"10026","cg08667899"
"10027","cg08671425"
"10028","cg08673142"
"10029","cg08676001"
"10030","cg08676755"
"10031","cg08677715"
"10032","cg08678397"
"10033","cg08678755"
"10034","cg08680260"
"10035","cg08680991"
"10036","cg08681966"
"10037","cg08683088"
"10038","cg08683297"
"10039","cg08684477"
"10040","cg08685444"
"10041","cg08686293"
"10042","cg08687251"
"10043","cg08687643"
"10044","cg08687731"
"10045","cg08687901"
"10046","cg08688798"
"10047","cg08689158"
"10048","cg08694149"
"10049","cg08694858"
"10050","cg08695411"
"10051","cg08698026"
"10052","cg08698913"
"10053","cg08699977"
"10054","cg08702612"
"10055","cg08702825"
"10056","cg08703289"
"10057","cg08704250"
"10058","cg08705895"
"10059","cg08707025"
"10060","cg08707456"
"10061","cg08708193"
"10062","cg08708735"
"10063","cg08709013"
"10064","cg08709385"
"10065","cg08710629"
"10066","cg08710791"
"10067","cg08710987"
"10068","cg08711796"
"10069","cg08712285"
"10070","cg08713543"
"10071","cg08714433"
"10072","cg08714440"
"10073","cg08715207"
"10074","cg08716553"
"10075","cg08717396"
"10076","cg08717896"
"10077","cg08718119"
"10078","cg08720786"
"10079","cg08721746"
"10080","cg08721908"
"10081","cg08722065"
"10082","cg08722115"
"10083","cg08722616"
"10084","cg08723637"
"10085","cg08724510"
"10086","cg08724753"
"10087","cg08727303"
"10088","cg08727433"
"10089","cg08727972"
"10090","cg08728848"
"10091","cg08728856"
"10092","cg08729004"
"10093","cg08729434"
"10094","cg08732139"
"10095","cg08732375"
"10096","cg08733482"
"10097","cg08734711"
"10098","cg08735636"
"10099","cg08736522"
"10100","cg08736544"
"10101","cg08738770"
"10102","cg08739478"
"10103","cg08739628"
"10104","cg08739648"
"10105","cg08740010"
"10106","cg08740309"
"10107","cg08741921"
"10108","cg08742041"
"10109","cg08742106"
"10110","cg08742360"
"10111","cg08742408"
"10112","cg08745199"
"10113","cg08745461"
"10114","cg08747369"
